,id,lastName,age,Unnamed: 0,gender,country,image
92,1433,frIDMAN,54 years old,144,None,Russia,https://specials-images.forbesimg.com/imageserve/5a80ac47a7ea431690133b64/416x416.jpg?background=000000&cropX1=534&cropX2=3793&cropY1=7&cropY2=3263
93,5920,murDOCh,87 years old,145,None,None,https://specials-images.forbesimg.com/imageserve/5a8d934d4bbe6f2652f61c74/416x416.jpg?background=000000&cropX1=0&cropX2=1559&cropY1=81&cropY2=1639
94,1705,chEARAVAnont,79 years old,146,M,Thailand,https://specials-images.forbesimg.com/imageserve/58accecd4bbe6f0e55874019/416x416.jpg?background=000000&cropX1=61&cropX2=684&cropY1=226&cropY2=850
95,2042,KUOK,94 years old,147,M,None,https://specials-images.forbesimg.com/imageserve/4f21e64d970512f81a766649fb072f0d/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743
96,1176,bESNIER,47 years old,148,None,None,https://specials-images.forbesimg.com/imageserve/4f21e64d970512f81a766649fb072f0d/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743
97,4816,naDAr,72 years old,149,M,India,https://specials-images.forbesimg.com/imageserve/37d84982997cb979720fb6f28fa88067/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=111&cropY2=855
98,1988,vekSELBERg,61 years old,150,M,None,https://specials-images.forbesimg.com/imageserve/5a80c89231358e4955ad2ca8/416x416.jpg?background=000000&cropX1=752&cropX2=3164&cropY1=5&cropY2=2416
99,9806,DANGOTE,61 years old,151,Male,None,https://specials-images.forbesimg.com/imageserve/5a7fd828a7ea43169013322e/416x416.jpg?background=000000&cropX1=240&cropX2=2897&cropY1=11&cropY2=2667
100,9858,hAMM,72 years old,152,M,None,https://specials-images.forbesimg.com/imageserve/59d563d8a7ea436b47b371d7/416x416.jpg?background=000000&cropX1=1310&cropX2=2937&cropY1=960&cropY2=2589
101,3274,coHEn,62 years old,153,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d946e4bbe6f2652f61ca6/416x416.jpg?background=000000&cropX1=743&cropX2=3320&cropY1=91&cropY2=2667
102,5970,mosKOVITz,1985,154,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d9076a7ea43169014020b/416x416.jpg?background=000000&cropX1=1208&cropX2=3374&cropY1=81&cropY2=2246
103,8268,teLLES,68 years old,155,None,None,https://specials-images.forbesimg.com/imageserve/5a7b8dd54bbe6f2652f4f0fa/416x416.jpg?background=000000&cropX1=6&cropX2=1812&cropY1=862&cropY2=2667
104,4677,wueRTh,83 years old,156,M,Germany,https://specials-images.forbesimg.com/imageserve/5a7e391a4bbe6f2652f528b8/416x416.jpg?background=000000&cropX1=562&cropX2=2916&cropY1=10&cropY2=2362
105,7971,ERGEN,65 years old,157,M,None,https://specials-images.forbesimg.com/imageserve/59d55b4331358e542c035479/416x416.jpg?background=000000&cropX1=1400&cropX2=3175&cropY1=55&cropY2=1832
106,3219,schMIDT,63 years old,158,M,USA,https://specials-images.forbesimg.com/imageserve/58c19b99a7ea431f321ad8d9/416x416.jpg?background=000000&cropX1=90&cropX2=631&cropY1=47&cropY2=588
107,4293,anscHUtz,78 years old,159,M,None,https://specials-images.forbesimg.com/imageserve/58c1d4a4a7ea431f321add5b/416x416.jpg?background=000000&cropX1=23&cropX2=732&cropY1=37&cropY2=746
108,5686,keNNEDy,70 years old,160,None,USA,https://specials-images.forbesimg.com/imageserve/59d5622d31358e542c0354a1/416x416.jpg?background=000000&cropX1=4433&cropX2=5352&cropY1=2354&cropY2=3272
109,2939,parry-OKEden,68 years old,161,F,United States,https://specials-images.forbesimg.com/imageserve/59d5622d31358e542c0354a1/416x416.jpg?background=000000&cropX1=4433&cropX2=5352&cropY1=2354&cropY2=3272
110,2833,wertHEImer,69 years old,162,None,None,https://specials-images.forbesimg.com/imageserve/5a7de73f31358e4955ad0986/416x416.jpg?background=000000&cropX1=11&cropX2=1445&cropY1=0&cropY2=1434
111,1709,weRTHEIMEr,67 years old,163,M,None,https://specials-images.forbesimg.com/imageserve/5a7df0a7a7ea431690131ba8/416x416.jpg?background=000000&cropX1=5&cropX2=2632&cropY1=235&cropY2=2861
112,1437,lAUDER,81 years old,164,None,USA,https://specials-images.forbesimg.com/imageserve/59d57d2631358e542c035675/416x416.jpg?background=000000&cropX1=0&cropX2=3457&cropY1=258&cropY2=3713
113,4668,THIELE,77 years old,165,M,Germany,https://specials-images.forbesimg.com/imageserve/56c7ceace4b062f6b59a2407/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=131&cropY2=874
114,1266,SHANGHVI,62 years old,166,None,India,https://specials-images.forbesimg.com/imageserve/59cbfe1aa7ea434a34f46ad9/416x416.jpg?background=000000&cropX1=731&cropX2=3388&cropY1=11&cropY2=2667
115,9108,platTNER,74 years old,167,M,None,https://specials-images.forbesimg.com/imageserve/5a7e164e31358e4955ad1051/416x416.jpg?background=000000&cropX1=11&cropX2=2667&cropY1=23&cropY2=2680
116,7589,schwARZMAn,71 years old,168,M,United States,https://specials-images.forbesimg.com/imageserve/59d560a8a7ea436b47b37189/416x416.jpg?background=000000&cropX1=1295&cropX2=3190&cropY1=523&cropY2=2417
117,6684,LEI,48 years old,169,Male,None,https://specials-images.forbesimg.com/imageserve/5a7cc5bda7ea4316901308f6/416x416.jpg?background=000000&cropX1=15&cropX2=2220&cropY1=44&cropY2=2248
118,9695,raUSING,92 years old,170,Male,Sweden,https://specials-images.forbesimg.com/imageserve/58a287e831358e1a35ab5409/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=73&cropY2=816
119,7766,uSMANOV,64 years old,171,Male,None,https://specials-images.forbesimg.com/imageserve/5a8090a631358e4955ad29b0/416x416.jpg?background=000000&cropX1=1520&cropX2=3943&cropY1=269&cropY2=2692
120,7091,newhOUSE,88 years old,172,None,None,https://specials-images.forbesimg.com/imageserve/5a8d9b9ca7ea431690140421/416x416.jpg?background=000000&cropX1=466&cropX2=2788&cropY1=140&cropY2=2464
121,1237,WOO,71 years old,173,M,None,https://specials-images.forbesimg.com/imageserve/5877bbb84bbe6f1f20eace2a/416x416.jpg?background=000000&cropX1=55&cropX2=652&cropY1=87&cropY2=685
122,7172,SARMIENTO,85 years old,174,M,None,https://specials-images.forbesimg.com/imageserve/5a7dcba04bbe6f2652f51b84/416x416.jpg?background=000000&cropX1=182&cropX2=1680&cropY1=87&cropY2=1584
123,1309,LI,49 years old,175,M,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5a7ceb4f4bbe6f2652f5106b/416x416.jpg?background=000000&cropX1=2954&cropX2=5159&cropY1=238&cropY2=2442
124,4039,sICUPIra,70 years old,176,M,Brazil,https://specials-images.forbesimg.com/imageserve/5a8ddcfd4bbe6f2652f6287e/416x416.jpg?background=000000&cropX1=124&cropX2=661&cropY1=0&cropY2=537
125,3739,SEO,60 years old,177,M,South Korea,https://specials-images.forbesimg.com/imageserve/553925b5e4b0bacdbd748e16/416x416.jpg?background=000000&cropX1=61&cropX2=628&cropY1=87&cropY2=654
126,5455,bIRLa,51 years old,178,M,None,https://specials-images.forbesimg.com/imageserve/56ca6247e4b062f6b59a2f96/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=280&cropY2=1024
127,7096,otTO,50 years old,179,M,None,https://specials-images.forbesimg.com/imageserve/5a7e04f431358e4955ad0c06/416x416.jpg?background=000000&cropX1=126&cropX2=900&cropY1=176&cropY2=950
128,5521,pESSINA,77 years old,180,M,Italy,https://specials-images.forbesimg.com/imageserve/5a7fa0904bbe6f2652f53414/416x416.jpg?background=000000&cropX1=954&cropX2=3605&cropY1=6&cropY2=2656
129,5093,tsCHIRa,,181,Male,Germany,https://specials-images.forbesimg.com/imageserve/5a7fa0904bbe6f2652f53414/416x416.jpg?background=000000&cropX1=954&cropX2=3605&cropY1=6&cropY2=2656
130,3879,wANG,50 years old,182,M,People's Republic of China,https://specials-images.forbesimg.com/imageserve/cf65372d0041b89469dfc064d15d21ca/416x416.jpg?background=000000&cropX1=6&cropX2=595&cropY1=433&cropY2=1023
131,7108,bEAL,65 years old,183,M,United States,https://specials-images.forbesimg.com/imageserve/572275fc31358e1869e2bbb5/416x416.jpg?background=000000&cropX1=23&cropX2=651&cropY1=24&cropY2=652
132,4790,lEE,88 years old,184,None,None,https://specials-images.forbesimg.com/imageserve/56898008e4b0ffa7afe8a698/416x416.jpg?background=000000&cropX1=237&cropX2=535&cropY1=235&cropY2=533
133,7828,meNARd,78 years old,185,M,United States,https://specials-images.forbesimg.com/imageserve/59d57d8d31358e542c03569c/416x416.jpg?background=000000&cropX1=210&cropX2=2245&cropY1=360&cropY2=2394
